Stop_id,Stop Name,Lat,Lng
3206,Velankanni Koil/Besant Nagar Church,12.996111,80.267669
3207,MRC_Nagar,13.021257,80.270174
3208,Kannagi_Statue,13.056277,80.281705
3209,Secretariat,13.080693,80.288209
3210,Secretariat,13.080652,80.288443
3211,Kannagi_Statue,13.056789,80.281919
3212,Queen_Marys_College,13.045713,80.280214
3213,MRC_Nagar,13.020857,80.269941
3214,Velankanni Koil/Besant Nagar Church,12.995614,80.267438
3215,Shanthi Theater,13.067212,80.270482
3216,Velachery Terminus,12.976218,80.221504
3217,V_House,13.050348,80.280808
3218,AMS Hospital/Satya Studio/Janaki College,13.016078,80.259762
3219,Check Post,12.9975,80.216574
3220,Keelkatalai ,12.955813,80.186972
3221,Srinivasa Nagar,12.964632,80.211211
3222,Check Post,12.997567,80.216417
3223,AMS Hospital/Satya Studio/Janaki College,13.016284,80.259574
3224,Jayanthi Theatre,12.988712,80.255806
3225,Thiruvanmiyur Depot,12.987434,80.259164
3226,Jayanthi Theatre,12.988511,80.256028
3227,Sayani,13.097726,80.24038
3228,Dashamakan,13.097621,80.255944
3229,Veterinary Hospital,13.085226,80.265727
3230,Bhuvaneswari,13.09042,80.258598
3231,Otteri TB Hospital,13.096818,80.245787
3232,SIDCO Bus Stop,13.103105,80.199343
3233,Padi Edatheru,13.100094,80.186512
3234,UCO Bank,13.103606,80.186248
3235,Joint Office,13.099615,80.230442
3236,Noor Hotel,13.098456,80.235275
3237,Bhuvaneswari/Vasanthi,13.090623,80.258745
3238,Government Hospital/Nurse Quarters,13.082233,80.279143
3239,Ambal Nagar/Ekkaduthangal,13.019151,80.20638
3240,Tharamani,12.981417,80.242552
3241,SRP Tools,12.980148,80.252121
3242,WPT/Indira Nagar,12.997355,80.249087
3243,SRP Tools,12.980199,80.251244
3244,Tharamani Pillaiyar Koil/Periyar Nagar,12.981187,80.238875
3245,Srinivasa Nagar,12.964499,80.211254
3246,Sadasivam Nagar,12.965466,80.204747
3247,Ponniamman Koil,12.964744,80.196872
3248,Iyyappan Koil,12.965314,80.191575
3249,Ganesh Nagar,12.960853,80.187253
3250,Keelkatalai,12.95612,80.186839
3251,Balaiya Garden,12.965411,80.201139
3252,Jayanthi Theatre Signal,12.987716,80.254829
3253,Tidel Park Railway Station,12.987821,80.251712
3254,Okkiyampettai,12.925832,80.231046
3255,Sembakkam,12.923098,80.16062
3256,Kamarajapuram,12.923372,80.154973
3257,Camp Road,12.922392,80.141458
3258,Christ King/Convent,12.922758,80.130343
3259,Christ King/Convent,12.92287,80.131053
3260,Camp Road,12.922588,80.14359
3261,Kamarajapuram,12.923466,80.1546
3262,Santhoshapuram,12.919968,80.170959
3263,TCS Karapakkam ,12.919783,80.230015
3264,TVS/Spencers,13.059521,80.259737
3265,Saidapet,13.021907,80.226027
3266,Udhayam Theatre,13.032637,80.211897
3267,Padma Sheshadri School,13.038956,80.198653
3268,Tata Udipi/Amman Kovil,13.036921,80.198309
3269,Pondicherry Guest House,13.041874,80.193628
3270,Padma Sheshadri School,13.041046,80.199281
3271,Central Jail/Puzhal Camp,13.158144,80.203702
3272,Red Hills,13.192835,80.18392
3273,Puzhal Central Jail,13.164051,80.202629
3274,Central Jail/Puzhal Camp,13.158343,80.203894
3275,V_House,13.049175,80.280493
3276,Parrys_Corner,13.088601,80.289459
3277,M.M.D.A,13.064892,80.21145
3278,Chrompet Depot,12.951091,80.139741
3279,Ambal Nagar/Ekkaduthangal,13.018548,80.20585
3280,Adyar Depot,12.997539,80.256778
3281,Kandanchavadi,12.965317,80.247539
3282,TCS Karapakkam,12.919631,80.230181
3283,Kumaran Nagar,12.877097,80.226788
3284,Semmenchery U.S,12.879292,80.211006
3285,Ponniamman Koil,12.885128,80.226572
3286,Mettukuppam,12.939086,80.235267
3287,Jain College,12.946467,80.239581
3288,Perungudi,12.958922,80.2444
3289,Kandanchavadi,12.966898,80.247926
3290,Adyar Depot,12.997669,80.25585
3291,Adyar Bus Depot,12.998986,80.255972
3292,T. Nagar Bus Terminus,13.03376,80.230514
3293,C.I.T Nagar,13.030023,80.230828
3294,Anna University/Gandhi Mandabam,13.008251,80.2334
3295,Thiruvanmiyur Terminus,12.987261,80.259121
3296,Bharathi Nagar,12.98165,80.233502
3297,Tansi Nagar,12.978672,80.225207
3298,Ram Nagar,12.965333,80.207
3299,Balaiya Garden,12.9655,80.200333
